Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj_Close
3/8/2024,951.38,108.94,113299600,8.05,-5.55%,891.1100057,926.69,875.28
3/11/2024,864.29,46.31,67836400,7.83,-2.00%,896.3233437,875.28,857.74
3/12/2024,880.49,58.1,66807500,7.82,7.16%,886.570007,857.74,919.13
3/13/2024,910.55,30.69,63571300,7.8,-1.12%,884.050008,919.13,908.88
3/14/2024,895.77,40.46,60231800,7.78,-3.24%,895.25,908.88,879.44
3/15/2024,869.3,32.89,64019300,7.81,-0.12%,902.4833373,879.44,878.37
3/18/2024,903.88,53.2,66897600,7.83,0.70%,888.8966673,878.37,884.55
3/19/2024,867,55.34,67217100,7.83,1.07%,880.7866617,884.55,893.98
3/20/2024,897.97,21.87,47906300,7.68,1.09%,885.633321,893.98,903.72
3/21/2024,923,22.43,48037200,7.68,1.18%,894.083313,903.72,914.35
3/22/2024,911.41,39.44,58521500,7.77,3.12%,904.0166423,914.35,942.89
3/25/2024,939.41,32.56,55213600,7.74,0.76%,920.3199873,942.89,950.02
3/26/2024,958.51,38.73,51364800,7.71,-2.57%,935.753337,950.02,925.61
3/27/2024,931.12,41.17,58606700,7.77,-2.50%,939.5066733,925.61,902.5
3/28/2024,900,21.07,43521200,7.64,0.12%,926.043335,902.5,903.56
4/1/2024,902.99,30.21,45244100,7.66,0.01%,910.556661,903.56,903.63
4/2/2024,884.48,24.74,43306400,7.64,-1.01%,903.230001,903.63,894.52
4/3/2024,884.84,19.74,37006700,7.57,-0.55%,900.5700077,894.52,889.64
4/4/2024,904.06,47.54,43496500,7.64,-3.44%,895.9300133,889.64,859.05
4/5/2024,868.66,25.55,39885700,7.6,2.45%,881.0700077,859.05,880.08
4/8/2024,887,20.98,28322000,7.45,-0.99%,876.2566733,880.08,871.33
4/9/2024,874.42,46.13,50354700,7.7,-2.04%,870.1533407,871.33,853.54
4/10/2024,839.26,36.91,43192900,7.64,1.97%,868.3166707,853.54,870.39
4/11/2024,874.2,38.13,43163700,7.64,4.11%,865.08667,870.39,906.16
4/12/2024,896.99,26.45,42488900,7.63,-2.68%,876.6966553,906.16,881.86
4/15/2024,890.98,46.84,44307700,7.65,-2.48%,886.1366577,881.86,860.01
4/16/2024,864.33,20.54,37045300,7.57,1.64%,882.676656,860.01,874.15
4/17/2024,883.4,48.25,49540000,7.69,-3.87%,872.006673,874.15,840.35
4/18/2024,849.7,37.88,44726000,7.65,0.76%,858.1700033,840.35,846.71
4/19/2024,831.5,87.18,87190500,7.94,-10.01%,853.736674,846.71,762
4/22/2024,781.04,36.73,59634100,7.78,4.35%,816.3533327,762,795.18
